"","sort(rowSums(as.matrix(term_freq_con)), decreasing = TRUE)"
"administrations",1
"admiraltywan",1
"adolescent",1
"adolescents",1
"adoubling",1
"adult",1
"advancementthe",1
"advancing",1
"advent",1
"adventure",1
"adversities",1
"aearmarking",1
"aenchancing",1
"aerotropolis",1
"aexpand",1
"affection",1
"affiliates",1
"affirm",1
"affluent",1
"afresh",1
"aftercare",1
"afternoon",1
"aggravate",1
"aggravation",1
"aggressive",1
"agony",1
"agovernment",1
"agriculture",1
"aheadto",1
"aheadwe",1
"aheadwhile",1
"aif",1
"aiming",1
"aimplementing",1
"ain",1
"aindex",1
"ainject",1
"ainjecting",1
"aintensifying",1
"aintroducing",1
"aired",1
"airportthis",1
"airquality",1
"airspace",1
"airtoair",1
"akin",1
"alan",1
"alcohol",1
"alien",1
"aligning",1
"alignment",1
"aligns",1
"alive",1
"allay",1
"allembracing",1
"allout",1
"allowancesthis",1
"allround",1
"allrounded",1
"allwe",1
"aloof",1
"alternatives",1
"ambience",1
"ambits",1
"amending",1
"amused",1
"amusement",1
"analysed",1
"analyses",1
"analysts",1
"anchorages",1
"andbregularising",1
"andccommissioning",1
"andcextending",1
"andcproposing",1
"andcprovide",1
"andcraising",1
"andcredevelop",1
"andcremove",1
"andcsetting",1
"andculture",1
"anddallocating",1
"anddincreasing",1
"anddirections",1
"anddpiloting",1
"anddproviding",1
"andecontinuing",1
"andelowering",1
"andeproviding",1
"andepursuing",1
"anderaising",1
"andfallocating",1
"andfin",1
"andfourth",1
"andfpaying",1
"andfto",1
"andgincreasing",1
"andgmaintaining",1
"andgproviding",1
"andinclusion",1
"andinternational",1
"andloffering",1
"andlogistics",1
"andmediumterm",1
"andpool",1
"andpositioning",1
"andpromoting",1
"andreduce",1
"andsustainable",1
"andwealth",1
"angry",1
"animals",1
"animated",1
"animation",1
"annex",1
"annuities",1
"answer",1
"anti",1
"anticipates",1
"antimoney",1
"antiquities",1
"antitheft",1
"antiviralsin",1
"anything",1
"anytime",1
"appear",1
"applicationcbuilding",1
"applicationsto",1
"appoint",1
"appointing",1
"appointments",1
"appraisals",1
"appreciates",1
"apprentice",1
"apprentices",1
"appropriately",1
"appropriateon",1
"approve",1
"aproactively",1
"aproviding",1
"apt",1
"aptitudes",1
"aptly",1
"aqua",1
"arbitrarily",1
"archive",1
"archiving",1
"areabconvert",1
"areagovernment",1
"areameanwhile",1
"areasanother",1
"areasbincrease",1
"areasfirst",1
"arecruiting",1
"areprovision",1
"argentina",1
"arisen",1
"arises",1
"ark",1
"arouse",1
"arranged",1
"arrangementsin",1
"arrangementslast",1
"arrest",1
"arrested",1
"arrival",1
"artrelated",1
"artworks",1
"ascertain",1
"asetting",1
"asiamoney",1
"asiaour",1
"asiaworldexpo",1
"asking",1
"asome",1
"aspect",1
"aspectsour",1
"assemble",1
"assetproperty",1
"assetwealth",1
"assiduously",1
"assign",1
"assistants",1
"assisted",1
"associate",1
"assurances",1
"astamp",1
"astonishing",1
"athe",1
"athletic",1
"atrium",1
"attacked",1
"attaining",1
"attainments",1
"attended",1
"attractivethe",1
"attracts",1
"auctioning",1
"audio",1
"audiovisual",1
"auguston",1
"aura",1
"auspices",1
"austere",1
"authenticate",1
"authenticity",1
"authorityfor",1
"authors",1
"autofuel",1
"automated",1
"automation",1
"averages",1
"averted",1
"awaiving",1
"babies",1
"babysitting",1
"bachelor",1
"bachelors",1
"backoffice",1
"backyard",1
"bacteria",1
"bag",1
"bahrain",1
"balancehealth",1
"bali",1
"baling",1
"bandwidths",1
"bangkok",1
"banksit",1
"banning",1
"baptist",1
"barbeque",1
"bare",1
"basecamp",1
"basei",1
"baseline",1
"bases",1
"basket",1
"batches",1
"battered",1
"batterer",1
"battery",1
"bayside",1
"bcontinuing",1
"beach",1
"bears",1
"bed",1
"bedrock",1
"behavioural",1
"belonging",1
"belongings",1
"belongs",1
"belowmarket",1
"beneath",1
"benefitsocial",1
"berths",1
"bestselling",1
"bets",1
"betterthanforecast",1
"betterthird",1
"bexempting",1
"bexpediting",1
"bidirectional",1
"biennale",1
"bif",1
"biliteracy",1
"billed",1
"billionbproviding",1
"billionbregularising",1
"billionbwaive",1
"billionbwaiving",1
"billioncgranting",1
"billioncproviding",1
"billioncwaiving",1
"billiondcontinuing",1
"billiondon",1
"billiondpaying",1
"billiondwaiving",1
"billionewaiving",1
"billiongwaiving",1
"billionhong",1
"billionon",1
"billionoperating",1
"billionsbp",1
"billiontaking",1
"billionwith",1
"billionwithin",1
"billissuing",1
"billows",1
"bincreasing",1
"binject",1
"biopharmaceutical",1
"birds",1
"birthday",1
"blazing",1
"bleak",1
"bleaker",1
"block",1
"bloom",1
"blooming",1
"blossoming",1
"blown",1
"blue",1
"blueprints",1
"bmaking",1
"bmillion",1
"boarding",1
"boardthis",1
"boardwalk",1
"boast",1
"boasted",1
"bode",1
"bog",1
"bonus",1
"books",1
"boomingproduction",1
"border",1
"borrow",1
"borrowed",1
"borrowings",1
"bottom",1
"bounced",1
"bound",1
"bout",1
"bowling",1
"boy",1
"braising",1
"branches",1
"brandcitizens",1
"brave",1
"braving",1
"breakdown",1
"breathable",1
"brevenue",1
"brewing",1
"bric",1
"brick",1
"bricks",1
"bridging",1
"briefed",1
"brilliance",1
"brink",1
"broadcaster",1
"broadcasting",1
"broadens",1
"broaderbased",1
"broadlybalanced",1
"broadlybased",1
"brokering",1
"brokers",1
"brothers",1
"brothersrelated",1
"bsome",1
"bthe",1
"bucket",1
"buddhas",1
"buddhist",1
"budgeti",1
"budgeting",1
"buffers",1
"buildingcapacity",1
"buildout",1
"buoyancy",1
"burdentherefore",1
"burgundy",1
"businessesin",1
"businessesthat",1
"businesswe",1
"bust",1
"busy",1
"butterfly",1
"button",1
"buttressed",1
"buyer",1
"bwaive",1
"byelection",1
"cables",1
"caf",1
"calculating",1
"calibre",1
"calm",1
"campaigning",1
"camps",1
"campuses",1
"campusthis",1
"cancellation",1
"cancers",1
"candid",1
"candidness",1
"canteens",1
"capacityi",1
"capacityon",1
"capacityto",1
"capitalists",1
"capitals",1
"capture",1
"captured",1
"cardiology",1
"cardiovascular",1
"careandattention",1
"carecproviding",1
"cared",1
"careewhile",1
"carer",1
"carersto",1
"caretakers",1
"cargohandling",1
"cargosector",1
"caringfor",1
"caringsociety",1
"caritas",1
"carnivals",1
"carparks",1
"cartoonist",1
"cashier",1
"catalysed",1
"catastrophic",1
"catch",1
"catchment",1
"categorydue",1
"caveats",1
"ccfs",1
"ccompleting",1
"cearmarking",1
"cease",1
"ceasing",1
"celebrations",1
"celluloid",1
"centchinas",1
"centin",1
"centrally",1
"centred",1
"centrelast",1
"centresthe",1
"centrethe",1
"centreto",1
"centrewith",1
"cents",1
"centto",1
"centtoday",1
"cepacurrently",1
"cepaif",1
"certificate",1
"certified",1
"cextending",1
"cfor",1
"cfurther",1
"chaan",1
"chairmanship",1
"chairperson",1
"chaisome",1
"challengeshaving",1
"challengesin",1
"challengeswe",1
"chances",1
"changesin",1
"channelled",1
"chaos",1
"charisma",1
"charities",1
"charming",1
"chasing",1
"chat",1
"chauhuanggang",1
"check",1
"checked",1
"checking",1
"checkups",1
"chee",1
"chefs",1
"chemotherapeutic",1
"cheng",1
"cheques",1
"chi",1
"childrenthe",1
"chinarelated",1
"chongqing",1
"chun",1
"cics",1
"cif",1
"cigars",1
"cimproving",1
"cincrease",1
"cincreasing",1
"cinemasthese",1
"cinjecting",1
"circles",1
"circular",1
"cite",1
"citizenswe",1
"citydevelopment",1
"cityside",1
"citytoday",1
"citywide",1
"clarified",1
"clashes",1
"classification",1
"classified",1
"cleanliness",1
"cleansing",1
"cleared",1
"clearlydefined",1
"clearthe",1
"client",1
"clientele",1
"clock",1
"closed",1
"closing",1
"closure",1
"clouded",1
"clouds",1
"codevelopment",1
"coerced",1
"coffee",1
"coincided",1
"coined",1
"coinvesting",1
"coinvestors",1
"coinvests",1
"cold",1
"collaborations",1
"collapse",1
"collateral",1
"collaterals",1
"collectively",1
"colocate",1
"colombia",1
"colour",1
"combati",1
"comeback",1
"comfort",1
"comfortably",1
"comics",1
"comix",1
"commended",1
"comment",1
"commentators",1
"commented",1
"commercialhotel",1
"commercially",1
"commercialresidential",1
"commercialthe",1
"commercialvehicles",1
"committeeueb",1
"commodityexporting",1
"commonwealth",1
"communist",1
"communitybased",1
"communityinitiated",1
"communitymy",1
"communityregarding",1
"commute",1
"commuting",1
"comparatively",1
"compare",1
"compatible",1
"compensate",1
"compensatory",1
"competing",1
"competitionmr",1
"competitivelypriced",1
"competitivenessthe",1
"competitivenesswe",1
"compilation",1
"complacent",1
"complainthandling",1
"complemented",1
"complements",1
"completing",1
"complexes",1
"complexity",1
"complicating",1
"complimentary",1
"composition",1
"compost",1
"compounded",1
"computerised",1
"conceivably",1
"concentration",1
"concentrations",1
"conceptual",1
"concerts",1
"concludes",1
"conditioners",1
"conditioning",1
"condone",1
"conduit",1
"confine",1
"confinement",1
"confirmed",1
"confirms",1
"conflicted",1
"conflicting",1
"conform",1
"confusing",1
"confusion",1
"congested",1
"connects",1
"conquered",1
"conscience",1
"conscientiously",1
"consequential",1
"conserved",1
"conserving",1
"consignments",1
"consignors",1
"consists",1
"constant",1
"constituted",1
"constraint",1
"constructionindustry",1
"constructionrelated",1
"constructively",1
"consultative",1
"consumes",1
"consumptionrelated",1
"consumptionvouchers",1
"contagion",1
"contexts",1
"contingenciesthe",1
"continual",1
"contractual",1
"contradictory",1
"contrasts",1
"convergence",1
"converters",1
"conveyed",1
"cool",1
"cooling",1
"cooperates",1
"cooperationwith",1
"coordinates",1
"coparenting",1
"copies",1
"copyrights",1
"corner",1
"corners",1
"corporatisation",1
"correct",1
"correspond",1
"corruption",1
"corruptionfree",1
"cosponsored",1
"costsin",1
"cotenants",1
"counsel",1
"count",1
"countdown",1
"counted",1
"counterfeit",1
"counterpart",1
"counters",1
"counterterrorist",1
"countrylast",1
"countryparks",1
"countryside",1
"coupons",1
"courageous",1
"couragetrust",1
"courier",1
"coursein",1
"coursesecondly",1
"coursework",1
"courteously",1
"courtesy",1
"courts",1
"coverthe",1
"cpc",1
"cpgs",1
"crack",1
"cracking",1
"cradle",1
"crave",1
"creativeindustries",1
"credible",1
"credits",1
"crevenues",1
"crimp",1
"criterion",1
"criticallyacclaimed",1
"crohns",1
"crops",1
"crossagency",1
"crosscultural",1
"crossdepartment",1
"crossdistrict",1
"crossed",1
"crossingsthe",1
"crossinstitution",1
"crossmarket",1
"crowd",1
"crowdfunding",1
"crux",1
"csome",1
"cstepping",1
"ctying",1
"cuisines",1
"culinary",1
"cultivating",1
"cultivation",1
"culturecantonese",1
"cultured",1
"culturein",1
"culturethe",1
"culturethese",1
"cup",1
"currentchallenges",1
"curtailed",1
"cushioning",1
"custodian",1
"customeroriented",1
"cutsmany",1
"cuttingedge",1
"cyberports",1
"cybersecurity",1
"cyclists",1
"cyclothon",1
"daipaidong",1
"dallocating",1
"damage",1
"damaged",1
"dampening",1
"dance",1
"dangerous",1
"daring",1
"datagovhk",1
"datasets",1
"dated",1
"daunting",1
"david",1
"dayresidential",1
"dazzling",1
"ddeploying",1
"dead",1
"deals",1
"dearly",1
"debit",1
"debteuropean",1
"decarbonise",1
"decelerate",1
"deceleration",1
"decemberwe",1
"decentralisation",1
"decile",1
"decisionto",1
"decisively",1
"decorating",1
"decreases",1
"dedication",1
"deductionsthat",1
"deed",1
"deeming",1
"deepens",1
"deeprooted",1
"defective",1
"defence",1
"defend",1
"defensive",1
"deferment",1
"deficitgovernment",1
"definition",1
"degenerative",1
"deglobalisation",1
"degreelevel",1
"delayed",1
"delays",1
"deletion",1
"deleveraging",1
"delhi",1
"deliberate",1
"deliberating",1
"deliberations",1
"delicacies",1
"deliverythe",1
"demanded",1
"demanding",1
"demandled",1
"demandswe",1
"demandthe",1
"demolished",1
"denominated",1
"denselypopulated",1
"dent",1
"dented",1
"departmental",1
"depend",1
"dependency",1
"deplete",1
"depositors",1
"derailed",1
"des",1
"described",1
"deserving",1
"designrelated",1
"desired",1
"destined",1
"destructive",1
"detailwith",1
"detection",1
"detectors",1
"deter",1
"determine",1
"detrimental",1
"devaluation",1
"developer",1
"developmentfrom",1
"developmenthong",1
"developmentresults",1
"developmentsthe",1
"developmentwe",1
"devised",1
"devising",1
"devoured",1
"dexpand",1
"dfollowing",1
"diabetic",1
"diagnostic",1
"dialect",1
"dialysis",1
"diametricallyopposed",1
"diamond",1
"differentials",1
"differentiation",1
"differs",1
"digested",1
"digicon",1
"digit",1
"digitalisationof",1
"digitalising",1
"dilemma",1
"diligently",1
"dim",1
"dimension",1
"diminish",1
"diminishing",1
"diminution",1
"dimmer",1
"dimplementing",1
"dintroducing",1
"dire",1
"directed",1
"directives",1
"directorate",1
"disappear",1
"disappointed",1
"disaster",1
"disasters",1
"disbanded",1
"disburse",1
"disbursements",1
"discharge",1
"dischargees",1
"disciplined",1
"disclosing",1
"disclosurecumconduct",1
"disclosures",1
"discord",1
"discounts",1
"discretion",1
"diseaseswe",1
"dishing",1
"disincentive",1
"dislocation",1
"dismantle",1
"dispose",1
"disposes",1
"disposing",1
"disrupt",1
"disrupting",1
"disruptions",1
"disseminate",1
"disseminating",1
"dissemination",1
"dissipate",1
"distinctiveness",1
"distinguished",1
"distorting",1
"distress",1
"distressed",1
"distributing",1
"distributorswarranties",1
"districtthe",1
"disturbances",1
"divergence",1
"divert",1
"divided",1
"dividend",1
"dividends",1
"divisions",1
"divorce",1
"dlooking",1
"dmillion",1
"dna",1
"dollardenominated",1
"dollarthe",1
"domiciliation",1
"dominated",1
"domino",1
"door",1
"doubledip",1
"downgrade",1
"downswing",1
"downthe",1
"downturnmost",1
"downturnthe",1
"downturnwe",1
"dpaying",1
"dpromoting",1
"dprovide",1
"drafting",1
"drain",1
"dramatic",1
"dramatically",1
"dream",1
"drew",1
"drove",1
"dthrough",1
"dualcurrency",1
"dubai",1
"ducts",1
"duly",1
"duponts",1
"dutywe",1
"dwaive",1
"dwindling",1
"dynamics",1
"eagerly",1
"eallocating",1
"earnestly",1
"earns",1
"easiest",1
"eastin",1
"eastward",1
"eat",1
"ebanking",1
"ebusiness",1
"eccc",1
"ecccat",1
"echoes",1
"ecommunication",1
"econometric",1
"economicdevelopment",1
"economieshong",1
"economieswe",1
"economise",1
"economya",1
"economybusing",1
"economyi",1
"economyin",1
"economythe",1
"economythese",1
"economywe",1
"economywhat",1
"econsidering",1
"econtinuing",1
"ecship",1
"edgesi",1
"educationduring",1
"educationin",1
"educationthe",1
"educators",1
"eentaxes",1
"effected",1
"effectivenessin",1
"effortsthis",1
"efollowing",1
"ein",1
"eing",1
"elaborating",1
"elderlybsetting",1
"elderlybspeeding",1
"elderlydextending",1
"elderlys",1
"elderlyservices",1
"elections",1
"elevator",1
"eliminated",1
"elucidation",1
"embodiment",1
"embraced",1
"embraces",1
"emergencies",1
"eminent",1
"emit",1
"empathy",1
"empf",1
"emphasises",1
"employable",1
"employeesin",1
"employmentcontent",1
"employmentenergy",1
"employmentin",1
"employmentregarding",1
"employmentthe",1
"employmentwe",1
"enabler",1
"enchanting",1
"encounterand",1
"encountering",1
"endangered",1
"endangering",1
"endapril",1
"ending",1
"endjune",1
"endorsed",1
"endorsements",1
"endoscopy",1
"endowed",1
"energise",1
"energizing",1
"energycumcarbon",1
"engulfed",1
"enhanceservices",1
"enlarge",1
"enlightened",1
"enlist",1
"enquiry",1
"enriches",1
"ensnared",1
"ensured",1
"ensures",1
"enterprisesin",1
"enterprisesintroduce",1
"enterprisesour",1
"enterprisessmes",1
"enterprisesturning",1
"enterpriseswe",1
"enters",1
"enthusiasm",1
"enthusiastic",1
"entice",1
"entries",1
"envelopes",1
"environmentally",1
"environmentduring",1
"environmentproviding",1
"envisages",1
"epay",1
"epayment",1
"episodic",1
"eplatform",1
"epochmaking",1
"eproviding",1
"equipping",1
"erode",1
"eroded",1
"erodes",1
"escalated",1
"escalates",1
"escalator",1
"essence",1
"estateinvestment",1
"estateslast",1
"estimatefor",1
"estimatethis",1
"ethe",1
"ethnicminorities",1
"etranslation",1
"eurozones",1
"evaluating",1
"evcharging",1
"eve",1
"everdeveloping",1
"everyday",1
"exacerbate",1
"exactly",1
"examinations",1
"exceling",1
"excelled",1
"excessively",1
"exchanged",1
"excited",1
"exciting",1
"execute",1
"executivethe",1
"exert",1
"exfactory",1
"exhaust",1
"exhausted",1
"exhibited",1
"exhibiting",1
"exiting",1
"exotic",1
"expansionwe",1
"expecting",1
"expedites",1
"expeditiously",1
"expenditureaccording",1
"expenditureand",1
"expenditurecontrol",1
"expenditurein",1
"expenditureoperating",1
"expenditurepublic",1
"expenditurereduction",1
"expenditurestructural",1
"expenditurethere",1
"expense",1
"expensecapital",1
"expensesthe",1
"experiment",1
"explained",1
"explains",1
"explanations",1
"exploit",1
"exploitation",1
"exploiting",1
"expound",1
"expounded",1
"extensions",1
"externalpromotion",1
"extracted",1
"eyeing",1
"eyetoeye",1
"faceasiaworldexpo",1
"facebook",1
"facets",1
"facilitated",1
"facilitatesand",1
"facilitieseducation",1
"facilitiessuch",1
"facilitys",1
"factions",1
"factorsit",1
"faded",1
"fails",1
"fallout",1
"falls",1
"false",1
"faltering",1
"familiarisation",1
"familybased",1
"familyit",1
"familys",1
"fantasy",1
"farsighted",1
"farsightedness",1
"father",1
"favourite",1
"fcontinuing",1
"fear",1
"fearless",1
"fears",1
"featured",1
"februaryfrom",1
"feelings",1
"fellowcitizens",1
"felthigher",1
"fencing",1
"fervently",1
"festivities",1
"fiber",1
"fibrebased",1
"fiction",1
"figuring",1
"filed",1
"filibustering",1
"filling",1
"filmmakers",1
"filmmaking",1
"fimplementing",1
"finally",1
"financeasia",1
"financed",1
"financerelated",1
"financesduring",1
"financeshowever",1
"financesi",1
"financesover",1
"financeswith",1
"financiallysustainable",1
"fingerprints",1
"finish",1
"finland",1
"firefighters",1
"firefighting",1
"firewall",1
"firmer",1
"firsthirethentrain",1
"firstly",1
"firstmover",1
"firsttime",1
"fisheries",1
"fishermans",1
"fit",1
"fittest",1
"fivestar",1
"fivestorey",1
"fixedincome",1
"flared",1
"flatrate",1
"flatsfourth",1
"flatsturning",1
"flavour",1
"floated",1
"flock",1
"floors",1
"flourishthe",1
"flowing",1
"flowto",1
"fluctuating",1
"fluctuationsthe",1
"fluid",1
"fold",1
"followup",1
"fong",1
"foot",1
"footbridges",1
"footingdespite",1
"forecaster",1
"foregone",1
"forenterprises",1
"foresee",1
"foreseen",1
"forestall",1
"forged",1
"forget",1
"forgone",1
"forgot",1
"formalities",1
"format",1
"formed",1
"foroffsetting",1
"forthcoming",1
"fortification",1
"fortunately",1
"forwardfor",1
"forwardplanning",1
"fosters",1
"founded",1
"founding",1
"fourfold",1
"fourmember",1
"fproviding",1
"fracture",1
"fragility",1
"fraud",1
"freed",1
"freelancers",1
"friday",1
"frills",1
"fromdecember",1
"fromin",1
"fruition",1
"frustrate",1
"frustrated",1
"frustrating",1
"fthe",1
"ftse",1
"fulf",1
"fulfill",1
"fulfilled",1
"fullday",1
"fun",1
"fundbinjecting",1
"fundcapital",1
"fundingfourthly",1
"fundraisers",1
"fundwith",1
"fung",1
"furnish",1
"furnishes",1
"furtheras",1
"furtherinflation",1
"fusion",1
"gains",1
"gaming",1
"garment",1
"gatherings",1
"gathers",1
"gauging",1
"gauntlet",1
"gave",1
"gconducting",1
"gcontinuing",1
"gdpconsolidated",1
"gdpfiscal",1
"gdpi",1
"gender",1
"generalists",1
"generates",1
"generating",1
"genetic",1
"genetics",1
"geneva",1
"genomic",1
"genuine",1
"genve",1
"geographically",1
"geology",1
"geopark",1
"geopolitics",1
"georeferenced",1
"georgia",1
"german",1
"germany",1
"getting",1
"giants",1
"gift",1
"girl",1
"glamour",1
"glamping",1
"gleam",1
"glitter",1
"globalpolitical",1
"gloomy",1
"gmp",1
"goodsthe",1
"google",1
"got",1
"governmenthelps",1
"governmentin",1
"governmentsrole",1
"governmenttogovernment",1
"governmentwe",1
"gpreparing",1
"graded",1
"grading",1
"graduallyas",1
"graduallythe",1
"graduated",1
"graduating",1
"grammes",1
"grandchildren",1
"grandmother",1
"grantseextending",1
"grantthis",1
"graphic",1
"grassroot",1
"greatlyincreased",1
"greek",1
"greenspan",1
"grim",1
"grizzly",1
"groomed",1
"groupb",1
"groupwide",1
"growthtaking",1
"growthwhile",1
"guaranteed",1
"guests",1
"guidelinesin",1
"guides",1
"gulch",1
"gyrations",1
"habit",1
"hafregularising",1
"hair",1
"halfcentury",1
"hall",1
"halved",1
"hammer",1
"hampers",1
"handed",1
"handicap",1
"handouts",1
"handover",1
"hangzhou",1
"happier",1
"hardest",1
"hardpressed",1
"hardships",1
"harm",1
"harmonise",1
"harvard",1
"hasspacetrue",1
"havein",1
"haven",1
"havenots",1
"hazardous",1
"hdps",1
"headcount",1
"heal",1
"healed",1
"healthcarerelated",1
"healthywe",1
"hear",1
"heartthis",1
"hectare",1
"heed",1
"heighten",1
"helicopter",1
"helpful",1
"helpless",1
"hepatitis",1
"heremainland",1
"hereon",1
"heroes",1
"hidden",1
"highdensity",1
"highgrade",1
"highgrowth",1
"highincome",1
"highlighting",1
"highlights",1
"highlycompetitive",1
"highlyefficient",1
"highlyskilled",1
"highrise",1
"highsalaried",1
"highspeed",1
"highstandard",1
"highways",1
"hired",1
"hirers",1
"hitch",1
"hits",1
"hkcec",1
"hkcecs",1
"hkhas",1
"hkhss",1
"hkmas",1
"hksars",1
"hktbbproviding",1
"hktbs",1
"hok",1
"homebuyers",1
"homegrown",1
"homeless",1
"homesthese",1
"honorarium",1
"honorary",1
"honourable",1
"honourablemembers",1
"hopeful",1
"hopkins",1
"horizon",1
"horizonhowever",1
"horse",1
"hospitalised",1
"hospitalswe",1
"hot",1
"hotline",1
"hourly",1
"hourswe",1
"housed",1
"householdsdproviding",1
"householdseproviding",1
"hproviding",1
"hps",1
"hshares",1
"huawei",1
"humanistic",1
"hungary",1
"hunger",1
"hurling",1
"hwa",1
"hyperactivity",1
"hyperinflation",1
"hypertension",1
"ibm",1
"ice",1
"identifies",1
"idle",1
"ifr",1
"ignore",1
"ills",1
"illustrates",1
"illustration",1
"imaging",1
"imbalance",1
"imbalanced",1
"imbalances",1
"imfs",1
"immigrants",1
"impacting",1
"impediments",1
"imperial",1
"implementer",1
"implements",1
"implies",1
"importantas",1
"imposes",1
"imposition",1
"impracticable",1
"impressively",1
"improvementthe",1
"incentivecumregulatory",1
"incineration",1
"incinerator",1
"inclination",1
"inclusiveness",1
"incomeour",1
"incomesharing",1
"incoming",1
"incongruous",1
"increasinglyglobalised",1
"incubate",1
"incubated",1
"indemnity",1
"independently",1
"indian",1
"indicate",1
"indiscriminate",1
"indispensable",1
"individualbased",1
"indochina",1
"induced",1
"industrialised",1
"industriescompetitiveness",1
"industriesthe",1
"industrieswe",1
"industrydevelopment",1
"industryrelated",1
"industrythe",1
"industryueb",1
"ineffective",1
"inevitability",1
"infernal",1
"infinite",1
"inflated",1
"inflationhowever",1
"influential",1
"infrastructureinvestment",1
"infrastructureled",1
"infrastructurewe",1
"ingenuity",1
"ingrained",1
"inherit",1
"inhibit",1
"initialled",1
"initiativesi",1
"injuries",1
"innate",1
"innocent",1
"inputs",1
"inroads",1
"insert",1
"insight",1
"inspections",1
"inspire",1
"inspired",1
"inspires",1
"instability",1
"instalments",1
"instantly",1
"instil",1
"institutionswe",1
"instructors",1
"instrumental",1
"insufficient",1
"insurable",1
"intelligencesharing",1
"intending",1
"intensely",1
"intensifies",1
"intensifying",1
"intent",1
"intentiondriven",1
"interact",1
"interactions",1
"interbureauxdepartmental",1
"interchange",1
"interchangeable",1
"interconnected",1
"interestrate",1
"interestwe",1
"interface",1
"interfering",1
"interflow",1
"interflows",1
"intern",1
"internally",1
"internationalcooperation",1
"internationaltax",1
"interplay",1
"interrelated",1
"intervals",1
"interventionist",1
"intragroup",1
"intricatelyrelated",1
"introduces",1
"invention",1
"inventors",1
"investmentfriendly",1
"investmenti",1
"investmentwe",1
"investorsi",1
"investorswe",1
"inward",1
"iran",1
"ireland",1
"irrational",1
"irreversible",1
"irrigate",1
"isle",1
"issuanceconsolidated",1
"issuedwe",1
"issuesappropriately",1
"itfs",1
"itineraries",1
"itinerary",1
"jadeite",1
"jakarta",1
"jazzing",1
"jewelleryin",1
"jewelry",1
"jiangsu",1
"jintao",1
"jobsdespite",1
"jobsduring",1
"jobsin",1
"johns",1
"joins",1
"jointventure",1
"joyful",1
"joys",1
"judging",1
"jurisdiction",1
"justification",1
"kau",1
"kazakhstan",1
"keenly",1
"keepingwe",1
"kennedy",1
"kick",1
"kickstart",1
"killing",1
"kilometre",1
"kilometresbesides",1
"kilometresplus",1
"kindas",1
"king",1
"kings",1
"kiosks",1
"kip",1
"knock",1
"knockon",1
"knot",1
"knowhow",1
"kongbpromoting",1
"kongdollar",1
"kongdomiciled",1
"kongguangdongmacao",1
"kongi",1
"kongin",1
"kongit",1
"kongjapan",1
"kongmade",1
"kongon",1
"kongshanghai",1
"kongstyle",1
"kongus",1
"kongwhile",1
"koreaat",1
"kowlooncanton",1
"kpmg",1
"kwo",1
"kwokking",1
"label",1
"labelling",1
"labelsi",1
"laboratoriesthirdly",1
"laboratory",1
"labourwe",1
"lacked",1
"lacking",1
"lacklustre",1
"lagging",1
"lai",1
"lampposts",1
"lan",1
"landdemanding",1
"landscapes",1
"landscaping",1
"landside",1
"landtoair",1
"landuse",1
"lantauthis",1
"largerthanexpected",1
"largesse",1
"largestever",1
"latency",1
"latters",1
"launchpad",1
"laurels",1
"lawful",1
"lawour",1
"laws",1
"lax",1
"layout",1
"layoutdesign",1
"leakages",1
"leapt",1
"learners",1
"leather",1
"leavers",1
"legcos",1
"legends",1
"legislate",1
"lei",1
"lender",1
"lenders",1
"lengthening",1
"lengthy",1
"lessened",1
"lessors",1
"letter",1
"letting",1
"levelling",1
"levelplaying",1
"levelsbut",1
"levelshowever",1
"levelsince",1
"leveraged",1
"levying",1
"liaised",1
"liaising",1
"liberalise",1
"liberalising",1
"lifeblood",1
"lifedpreparing",1
"lifeduring",1
"lifetime",1
"lifts",1
"lighter",1
"lightlylooking",1
"liked",1
"limiteds",1
"ling",1
"lingnan",1
"linguistic",1
"lining",1
"linkrelevant",1
"liquefied",1
"listening",1
"livelihoods",1
"livelihoodwhere",1
"lobbying",1
"localities",1
"locallyaccredited",1
"locallydeveloped",1
"locallyheld",1
"locate",1
"locational",1
"lockdowns",1
"lockers",1
"lodged",1
"longed",1
"longest",1
"longestablished",1
"longheld",1
"longrun",1
"longwhile",1
"looked",1
"lookout",1
"loophole",1
"loopholes",1
"loose",1
"losing",1
"lossesof",1
"lots",1
"loud",1
"lovers",1
"loving",1
"lowbusinesses",1
"lowemission",1
"lowenergy",1
"lowenergyconsumption",1
"lowpollution",1
"lowpriced",1
"lowrent",1
"lowtechnology",1
"lowvalueadded",1
"lpf",1
"lpg",1
"ltd",1
"lubricated",1
"lull",1
"lunch",1
"luxembourg",1
"macaos",1
"machinereadable",1
"macroenvironment",1
"magistracy",1
"magnetic",1
"magnificent",1
"magnify",1
"magnitude",1
"mainlandas",1
"mainlandbecause",1
"mainlandfrom",1
"mainlandueb",1
"majorityi",1
"malice",1
"mammoth",1
"managerial",1
"manages",1
"manipulate",1
"manmade",1
"manning",1
"manoeuvres",1
"manufacturer",1
"mapped",1
"maps",1
"margin",1
"mariner",1
"marketas",1
"marketat",1
"marketdespite",1
"marketin",1
"marketisation",1
"marketlast",1
"marketregulatory",1
"marketsecond",1
"marketsfor",1
"marketswe",1
"marketthey",1
"marketto",1
"marvel",1
"marvels",1
"maryknoll",1
"matchboxstyle",1
"matched",1
"materialistic",1
"materialsour",1
"matured",1
"maturities",1
"maximised",1
"mcmug",1
